"","carat","cut","color","clarity","depth","table","price","x","y","z"
"21454",1.52,"Very Good","F","SI2",62.1,58,9552,7.26,7.34,4.53
"2243",1,"Fair","F","SI2",65.5,56,3146,6.3,6.19,4.09
"20292",0.91,"Ideal","D","VVS2",62,54,8707,6.2,6.25,3.86
"33252",0.45,"Ideal","I","VS1",62.1,55,825,4.9,4.92,3.05
"29295",0.31,"Ideal","I","SI1",61.5,55,436,4.36,4.39,2.69
"37477",0.42,"Premium","G","VS1",62.5,59,984,4.79,4.72,2.97
"2375",0.32,"Ideal","G","VS2",61.5,57,561,4.4,4.41,2.71
"38216",0.43,"Premium","E","SI1",62.4,56,1016,4.83,4.79,3
"27602",2.1,"Ideal","H","SI2",63.1,55,18462,8.17,8.13,5.14
"21886",1.5,"Good","G","SI1",59.7,65,9954,7.46,7.34,4.42
"30405",0.32,"Ideal","G","VVS2",61.4,55,730,4.4,4.43,2.71
"19887",1.03,"Very Good","D","VS1",60.5,60,8437,6.52,6.57,3.96
"24105",2.01,"Good","J","SI1",63.6,59,12257,7.96,8.01,5.08
"39114",0.41,"Ideal","G","VS2",62.4,54,1061,4.81,4.78,2.99
"7532",0.84,"Premium","F","VVS2",60.4,62,4243,6.15,6.1,3.7
"7248",1,"Ideal","F","SI2",61.8,57,4197,6.36,6.45,3.96
"23971",2.01,"Premium","J","SI2",62.4,59,12105,8.05,8.1,5.04
"52814",0.71,"Premium","H","VS1",59.1,61,2572,5.87,5.83,3.46
"38193",0.41,"Premium","D","SI1",62.9,58,1015,4.75,4.7,2.97
"899",1,"Fair","I","SI1",66.3,61,2875,6.08,6.03,4.01
"48548",0.72,"Very Good","J","SI1",63,58,1989,5.67,5.7,3.58
"855",0.72,"Ideal","F","SI1",61.5,56,2870,5.72,5.79,3.54
"12248",1.01,"Premium","H","SI1",61.8,59,5204,6.38,6.33,3.93
"42811",0.53,"Ideal","H","VS2",62.1,54,1353,5.21,5.23,3.24
"8746",1.14,"Premium","H","SI1",62.1,59,4463,6.73,6.61,4.14
"5633",1,"Good","H","SI2",63.9,55,3878,6.25,6.33,4.02
"29296",0.31,"Ideal","I","SI1",62,53,436,4.37,4.4,2.72
"48974",0.34,"Ideal","I","VS1",62.6,56,537,4.44,4.47,2.79
"9608",1.02,"Premium","G","SI1",62.3,59,4633,6.4,6.44,4
"31537",0.31,"Ideal","E","VVS2",61.7,56,766,4.37,4.38,2.7
"17247",1.07,"Premium","G","VS2",61.9,58,6903,6.55,6.54,4.05
"5330",1,"Premium","I","SI1",58.5,59,3808,6.56,6.54,3.83
"14732",1.22,"Premium","H","VS2",62.7,58,5930,6.77,6.73,4.23
"19382",1.51,"Very Good","F","SI2",63.4,58,8050,7.29,7.22,4.6
"7469",1.2,"Premium","I","SI2",59,60,4234,6.99,6.95,4.11
"30702",0.3,"Premium","G","VVS1",61.3,58,737,4.29,4.33,2.64
"1815",0.61,"Ideal","E","VVS2",60.8,56,3056,5.5,5.47,3.34
"2978",0.71,"Ideal","G","VS2",61.8,56,3299,5.72,5.75,3.55
"36615",0.34,"Premium","E","SI2",62.4,59,477,4.42,4.46,2.77
"36905",0.4,"Fair","G","SI1",59.9,67,960,4.81,4.77,2.87
"14549",1.28,"Premium","H","VS2",59.4,60,5878,7.07,7.03,4.19
"22253",1.52,"Premium","D","SI2",61.4,54,10308,7.51,7.43,4.59
"23340",1.01,"Premium","E","IF",62.6,58,11387,6.37,6.44,4.01
"1738",0.32,"Ideal","G","VS2",61.6,57,561,4.39,4.41,2.71
"17421",1.05,"Ideal","G","VS2",61.6,59,6981,6.51,6.54,4.02
"10362",1.15,"Premium","H","SI1",60.2,60,4772,6.87,6.78,4.11
"17607",1.33,"Good","I","VS1",63.7,56,7090,6.96,6.92,4.42
"15678",1.32,"Ideal","J","VS2",62.3,57,6288,6.96,7,4.35
"48683",0.53,"Ideal","G","VVS1",61.8,56,2005,5.18,5.2,3.21
"50455",0.71,"Ideal","G","SI2",61.1,56,2264,5.75,5.77,3.52
"27705",0.36,"Ideal","H","SI1",61.5,57,648,4.6,4.57,2.82
"8565",1.01,"Very Good","G","SI2",62.1,60,4435,6.38,6.35,3.95
"18368",0.39,"Good","J","VS1",63.1,56,616,4.62,4.7,2.94
"22928",1.57,"Ideal","I","VS2",60.4,58,10964,7.55,7.59,4.57
"20722",0.31,"Premium","F","VS2",62.7,59,625,4.3,4.34,2.71
"25075",1.5,"Very Good","G","VS1",60.2,58,13596,7.38,7.41,4.45
"52064",0.7,"Very Good","E","SI2",62.8,59,2453,5.64,5.69,3.56
"2939",0.9,"Premium","I","VS2",63,59,3292,6.1,6.06,3.83
"47405",0.5,"Very Good","F","VS1",61.4,58,1849,5.05,5.14,3.13
"1230",0.75,"Ideal","E","VS2",61.6,57,2940,5.84,5.81,3.59
"6441",1.09,"Premium","J","SI1",62.3,59,4046,6.55,6.59,4.09
"52123",0.7,"Very Good","G","VS2",63.3,56,2464,5.59,5.66,3.56
"37310",0.31,"Ideal","F","IF",62.1,55,979,4.34,4.35,2.7
"15700",0.29,"Ideal","H","IF",60.7,57,607,4.3,4.33,2.62
"36001",0.42,"Ideal","G","VS1",62,55,921,4.78,4.83,2.98
"26509",1.73,"Ideal","F","VS1",62.1,57,16131,7.73,7.64,4.77
"644",0.71,"Very Good","E","VS2",59.4,58,2843,5.76,5.82,3.44
"10674",1.14,"Very Good","I","SI1",62.6,55,4840,6.66,6.72,4.19
"276",0.79,"Very Good","E","SI1",63.2,56,2794,5.91,5.86,3.72
"46869",0.53,"Ideal","G","VS1",62.7,55,1813,5.18,5.16,3.24
"35659",0.31,"Very Good","G","VVS2",63.2,58,907,4.32,4.26,2.71
"25468",1.36,"Very Good","D","VVS2",62.6,58,14236,7.06,7.21,4.47
"19250",1.33,"Premium","H","VS2",60.7,59,7982,7.08,7.13,4.31
"9962",1.07,"Premium","F","SI2",60.3,58,4700,6.68,6.62,4.01
"31861",0.3,"Ideal","H","VVS2",61.3,56,776,4.35,4.33,2.66
"6539",1.18,"Good","E","SI2",63.6,57,4071,6.74,6.72,4.28
"7863",1.11,"Very Good","E","SI2",62.3,58,4307,6.64,6.68,4.15
"16739",0.41,"Premium","G","SI2",61.4,58,611,4.75,4.8,2.93
"23667",1.53,"Ideal","F","SI1",60.3,57,11713,7.45,7.52,4.51
"33303",0.4,"Good","F","VS2",63.4,54.4,826,4.68,4.73,2.99
"1701",0.71,"Ideal","E","VS2",59.5,57,3035,5.83,5.86,3.48
"45297",0.51,"Very Good","E","VS2",63.1,55,1662,5.13,5.1,3.23
"44272",0.52,"Ideal","E","VS2",60.7,56,1576,5.2,5.24,3.17
"19255",1.3,"Very Good","G","SI1",61,57,7985,7.01,7.06,4.29
"15099",1.21,"Ideal","H","SI1",61.1,57,6069,6.83,6.91,4.2
"45095",0.6,"Premium","G","SI1",61.8,60,1646,5.38,5.37,3.32
"50754",0.6,"Ideal","F","VVS2",61.8,57,2298,5.36,5.42,3.33
"52819",0.71,"Very Good","E","SI1",62.9,57,2573,5.66,5.7,3.57
"44405",0.55,"Ideal","H","SI1",60.8,56,1584,5.3,5.33,3.23
"20035",0.3,"Very Good","E","SI2",61.6,61,421,4.25,4.29,2.63
"39400",0.41,"Ideal","G","VVS2",61.1,55,1076,4.83,4.8,2.94
"29331",0.31,"Very Good","H","VS1",63.2,57,698,4.32,4.29,2.72
"2051",0.32,"Good","E","SI1",63.1,56,561,4.36,4.39,2.76
"7856",0.9,"Premium","D","SI1",59.4,62,4304,6.24,6.19,3.69
"35950",0.3,"Ideal","F","SI1",62.1,55,475,4.31,4.35,2.69
"28356",0.34,"Ideal","H","VVS2",61.2,56,667,4.51,4.54,2.77
"29129",0.43,"Very Good","I","SI2",61.5,54,691,4.86,4.89,3
"11174",0.7,"Ideal","F","VVS1",61,56,4951,5.72,5.75,3.5
"49878",0.7,"Very Good","H","SI1",63.4,61,2176,5.62,5.58,3.55
"2367",1.5,"Fair","H","I1",69.3,61,3175,6.99,6.81,4.78
"46490",0.54,"Very Good","F","VS1",59.9,57,1778,5.35,5.3,3.19
"5097",0.77,"Ideal","D","VS2",61.8,56,3755,5.9,5.84,3.63
"31619",0.23,"Very Good","E","VS2",62.5,59,373,3.91,3.96,2.46
"14913",2.03,"Fair","H","I1",64.4,59,6002,7.91,7.85,5.07
"40757",0.4,"Ideal","F","VVS2",62.4,57,1163,4.73,4.69,2.94
"46601",0.54,"Ideal","D","SI1",60.7,56,1786,5.3,5.27,3.21
"3522",0.71,"Ideal","F","VS2",62.2,55,3405,5.72,5.76,3.57
"30813",0.38,"Ideal","G","VS2",61.6,55,743,4.67,4.71,2.89
"15957",1,"Very Good","G","VS2",62.8,62,6386,6.28,6.33,3.96
"26564",1.73,"Premium","E","SI1",62.6,58,16253,7.67,7.59,4.78
"50900",0.56,"Ideal","F","VS2",62.7,55,2318,5.32,5.27,3.32
"33478",0.32,"Premium","F","VS2",60.2,59,828,4.43,4.4,2.66
"6550",1.01,"Very Good","I","SI1",63.4,62,4072,6.25,6.18,3.94
"26626",2.03,"Very Good","I","SI1",62.3,60,16392,8.01,8.07,5.01
"48419",0.61,"Very Good","F","VS2",59.6,61,1971,5.5,5.58,3.3
"24342",1.71,"Premium","H","VS2",58.8,60,12607,7.85,7.8,4.6
"37921",0.23,"Very Good","E","VVS1",63.3,57,485,3.88,3.95,2.48
"7051",0.33,"Ideal","E","SI1",62.5,55,579,4.42,4.45,2.77
"1759",0.71,"Very Good","F","VS1",62.2,55,3045,5.68,5.74,3.56
"21515",1.5,"Very Good","I","VS2",62.2,59,9611,7.34,7.3,4.55
"6584",1.03,"Ideal","I","SI1",61.3,56,4078,6.49,6.53,3.99
"3329",1.23,"Premium","F","I1",60.8,59,3375,6.96,6.91,4.22
"25541",2.01,"Premium","H","SI2",62,60,14364,8.11,8.04,5.02
"38064",0.4,"Good","G","VVS1",59.1,61,1013,4.86,4.88,2.88
"37839",0.33,"Ideal","D","VS2",62.1,54,1002,4.46,4.43,2.76
"53688",0.74,"Ideal","I","VVS1",62.3,55,2715,5.77,5.82,3.61
"11625",1.01,"Very Good","H","VS2",63.5,61,5050,6.32,6.24,3.99
"510",0.7,"Ideal","D","SI1",61.4,54,2822,5.75,5.71,3.52
"20318",1.5,"Good","I","VVS2",65.4,59,8732,7.09,7.14,4.65
"20102",1.22,"Premium","F","VS2",62,58,8576,6.86,6.89,4.26
"17986",1.07,"Ideal","G","VS2",61.4,57,7275,6.56,6.63,4.05
"3892",0.77,"Very Good","E","VS1",59.4,61,3488,5.98,5.94,3.54
"6907",1.01,"Good","G","SI2",63.7,59,4135,6.38,6.31,4.04
"41242",0.46,"Premium","E","VS2",60.2,60,1208,5.01,4.96,3
"13502",1.21,"Premium","I","VS1",61.2,59,5540,6.86,6.84,4.19
"2356",0.8,"Ideal","D","SI2",61.5,58,3173,5.97,6,3.68
"22736",1.66,"Ideal","E","SI2",62.7,56,10754,7.45,7.63,4.73
"27323",2.01,"Premium","H","SI1",61.1,60,17849,8.15,8.11,4.97
"1173",0.74,"Very Good","E","SI1",61,58,2929,5.82,5.85,3.56
"52289",0.58,"Good","F","VVS2",62.2,61,2494,5.37,5.44,3.36
"16500",1.28,"Premium","H","SI1",62,62,6595,6.93,6.87,4.28
"44198",0.51,"Ideal","D","SI1",61.7,55,1569,5.11,5.16,3.17
"3456",0.73,"Ideal","G","VS2",60.2,55,3389,5.85,5.9,3.54
"9763",1.11,"Premium","H","SI2",62.9,59,4662,6.59,6.54,4.13
"32591",0.33,"Ideal","G","VVS1",60.4,58,802,4.5,4.51,2.72
"51507",1.12,"Premium","G","I1",60.4,59,2383,6.71,6.67,0
"45086",0.5,"Very Good","D","VS2",61.1,58,1646,5.07,5.11,3.11
"27845",0.31,"Premium","E","SI1",63,58,651,4.31,4.29,2.71
"40104",0.33,"Premium","G","VVS1",62.8,59,1114,4.44,4.38,2.77
"4629",0.91,"Very Good","J","VS1",62.1,55,3666,6.16,6.24,3.85
"46454",0.52,"Ideal","D","VS2",61,57,1774,5.18,5.21,3.17
"45752",0.5,"Very Good","D","VS2",59.1,59,1703,5.19,5.24,3.08
"3479",1.05,"Very Good","J","SI2",60.9,60,3395,6.51,6.59,3.99
"21789",1.6,"Ideal","G","VS1",62,57,9856,7.47,7.43,4.62
"12082",1.06,"Ideal","G","SI1",62,56,5159,6.52,6.55,4.05
"11291",1.29,"Very Good","F","SI2",63.4,57,4977,6.92,6.77,4.35
"51400",0.7,"Premium","F","VS2",61.1,62,2369,5.69,5.64,3.46
"52142",0.76,"Very Good","F","SI2",62.7,55,2469,5.74,5.83,3.63
"38263",0.26,"Premium","G","VS1",61.3,60,382,4.07,4.12,2.51
"18909",1.52,"Very Good","J","SI1",59.9,57,7759,7.45,7.47,4.47
"28277",0.25,"Ideal","G","SI1",62.3,53,363,4.06,4.09,2.54
"28276",0.26,"Ideal","H","SI2",62.5,53,362,4.09,4.13,2.57
"43619",0.28,"Ideal","G","VS2",62.1,56,508,4.19,4.23,2.61
"8912",1,"Good","G","SI2",61.7,63,4493,6.36,6.37,3.93
"34662",0.31,"Ideal","E","VS2",62,55,872,4.35,4.33,2.69
"49935",0.71,"Very Good","I","VS2",62.8,59,2185,5.64,5.67,3.55
"48172",0.54,"Very Good","F","SI1",63.5,58,1944,5.21,5.15,3.29
"45000",0.31,"Very Good","G","SI2",63.3,54,523,4.34,4.29,2.73
"28485",0.35,"Premium","E","SI2",59.9,61,672,4.59,4.56,2.74
"31457",0.34,"Good","E","SI1",63.9,56,765,4.48,4.44,2.85
"17461",1.3,"Premium","D","SI2",60.2,59,7002,7,7.05,4.23
"6175",0.9,"Very Good","F","SI1",63.4,62,3992,6.05,6,3.82
"51694",0.76,"Ideal","I","SI1",61.8,57,2399,5.89,5.83,3.62
"12005",1.01,"Premium","D","SI1",58.1,61,5147,6.66,6.59,3.85
"34948",0.3,"Premium","H","SI2",61.9,60,378,4.27,4.29,2.65
"53586",0.88,"Very Good","I","SI1",62.5,56,2699,6.06,6.19,3.83
"4280",1,"Good","H","SI2",63.9,55,3584,6.41,6.34,4.07
"1553",0.73,"Fair","F","VS1",58.6,66,3002,5.92,5.88,3.46
"39771",0.36,"Ideal","D","VS2",61.8,56,1094,4.6,4.56,2.83
"44215",0.52,"Ideal","E","VS2",62.2,55,1571,5.16,5.22,3.23
"25208",1.52,"Ideal","G","VS2",62.8,54,13809,7.3,7.36,4.61
"46849",0.53,"Ideal","F","VS1",62.3,55,1812,5.18,5.22,3.24
"19086",1.53,"Ideal","I","SI2",62.4,54,7859,7.34,7.41,4.6
"32243",0.31,"Ideal","H","IF",61.3,56,789,4.37,4.41,2.69
"34581",0.43,"Premium","F","SI2",60.5,59,871,4.91,4.88,2.96
"33336",0.41,"Premium","G","VS2",59.8,58,827,4.8,4.84,2.88
"10022",0.34,"Ideal","D","I1",61.4,55,413,4.5,4.52,2.77
"34043",0.3,"Ideal","G","IF",62.2,56,850,4.26,4.29,2.66
"8281",0.9,"Very Good","E","SI1",63.2,54,4382,6.1,6.17,3.88
"52577",0.7,"Very Good","E","SI1",63,55,2537,5.61,5.66,3.55
"43593",0.31,"Ideal","H","VS2",62,55,507,4.36,4.38,2.71
"51692",0.7,"Fair","F","VS1",55.9,62,2399,5.94,5.83,3.29
"12893",1.01,"Very Good","E","SI1",61.5,60,5372,6.39,6.42,3.94
"32443",0.43,"Very Good","F","SI1",62.4,57,792,4.79,4.82,3
"48312",0.25,"Ideal","F","VS2",62.9,55,535,4.01,4.05,2.53
"7652",0.9,"Very Good","G","VS2",60.9,59,4269,6.18,6.24,3.78
"8852",1.01,"Fair","E","SI1",64.8,58,4480,6.34,6.29,4.09
"12704",0.26,"Ideal","E","VVS1",62,56,599,4.09,4.13,2.55
"19447",1.53,"Good","I","SI1",63.1,57,8095,7.28,7.34,4.61
"31845",0.34,"Premium","H","VVS1",61.1,59,775,4.48,4.52,2.75
"12799",1.09,"Premium","H","SI1",59.8,60,5335,6.72,6.66,4
"13283",1.08,"Premium","F","SI1",61,59,5487,6.67,6.57,4.04
"38939",0.4,"Ideal","E","VS1",62,54,1053,4.74,4.77,2.95
"28443",0.31,"Ideal","G","VVS2",61.4,57,671,4.38,4.42,2.69
"4503",0.9,"Premium","F","SI2",58.4,62,3629,6.37,6.34,3.71
"21805",1.53,"Premium","I","VS1",62,57,9877,7.39,7.35,4.57
"49047",0.51,"Ideal","D","VS2",61.6,57,2056,5.19,5.14,3.18
"49530",0.59,"Very Good","F","SI1",63.1,57,2124,5.39,5.36,3.39
"22409",1.21,"Very Good","E","VS1",60,58,10430,6.89,6.97,4.16
"34440",0.32,"Ideal","E","VVS2",62.4,56,864,4.39,4.43,2.75
"41113",0.59,"Premium","E","SI2",60.8,56,1195,5.43,5.4,3.29
"53708",0.72,"Premium","D","SI1",61.8,58,2718,5.81,5.75,3.57
"49586",0.7,"Very Good","H","SI2",62,59,2135,5.68,5.7,3.53
"28076",0.3,"Ideal","D","VS1",62,54,661,4.3,4.34,2.68
"21818",1.31,"Ideal","G","VS1",61.5,57,9891,7.02,7.06,4.33
"49493",0.56,"Ideal","E","VS1",61.8,56,2117,5.33,5.28,3.28
"12857",1.1,"Ideal","E","SI2",61.6,56,5359,6.66,6.63,4.09
"15693",0.29,"Ideal","G","VVS2",61.9,56,607,4.24,4.25,2.62
"6973",0.76,"Ideal","D","VVS2",62.3,57,4150,5.87,5.84,3.65
"53805",0.72,"Premium","E","SI1",59.5,59,2732,5.87,5.83,3.48
"52201",0.54,"Ideal","E","VVS2",61.9,54.5,2479,5.22,5.25,3.23
"14413",1.31,"Ideal","I","SI2",61,59,5820,7.05,7.01,4.29
"29160",0.33,"Premium","H","VS1",62.4,60,693,4.42,4.39,2.75
"51555",0.51,"Premium","D","VVS2",60.8,60,2387,5.23,5.14,3.15
"8519",1,"Very Good","E","SI2",62.6,58,4426,6.33,6.39,3.98
"3818",0.77,"Ideal","H","VS1",61.3,56,3468,5.91,5.97,3.64
"42206",0.52,"Good","H","VS2",63.7,54,1289,5.09,5.12,3.25
"35236",0.39,"Good","G","VVS2",63.4,57,894,4.62,4.65,2.94
"52882",0.73,"Ideal","H","VS2",62,54,2583,5.79,5.83,3.6
"12026",1.11,"Premium","E","SI2",62.6,59,5152,6.71,6.65,4.18
"13078",1.06,"Very Good","H","VS2",60.7,59,5415,6.56,6.63,4
"34616",0.27,"Premium","E","VS1",60.2,59,470,4.2,4.24,2.54
"9717",0.3,"Ideal","H","VVS2",62.4,56,590,4.28,4.31,2.68
"26861",1.52,"Very Good","F","VVS2",63.7,57,16786,7.28,7.31,4.65
"6180",0.91,"Good","F","SI1",63.7,58,3993,6.1,6.17,3.91
"35478",0.39,"Ideal","F","VS1",61.3,56,902,4.7,4.72,2.89
"11562",1.01,"Very Good","H","VS2",63.1,56,5034,6.41,6.36,4.03
"53588",0.8,"Premium","H","SI1",62,59,2699,5.91,5.96,3.68
"12185",1.21,"Premium","G","SI2",59.1,55,5184,7.04,6.98,4.14
"28928",0.3,"Good","G","VVS2",63.6,57,684,4.26,4.3,2.72
"27600",2.08,"Premium","I","VS2",58.9,61,18447,8.36,8.35,4.92
"32853",0.4,"Premium","H","VS1",62.4,60,807,4.69,4.74,2.94
"45584",0.52,"Ideal","G","VS1",62.4,56,1689,5.11,5.15,3.2
"42431",0.57,"Ideal","G","VS2",60.7,56,1313,5.4,5.37,3.27
"3027",0.77,"Ideal","D","SI1",60.8,57,3309,5.9,5.94,3.6
"6582",0.9,"Ideal","D","SI2",62.4,56,4078,6.16,6.24,3.87
"51640",0.31,"Ideal","G","VS2",61.4,57,544,4.35,4.45,2.7
"32043",0.32,"Ideal","G","VVS1",60.3,58,779,4.44,4.48,2.69
"49081",0.57,"Ideal","G","VS1",61.1,57,2060,5.34,5.36,3.27
"8101",1.52,"Premium","G","I1",62.3,60,4345,7.34,7.28,4.56
"11588",1,"Fair","F","SI1",61.3,62,5040,6.45,6.37,3.93
"24495",2.23,"Premium","J","SI2",60.5,61,12770,8.47,8.4,5.1
"1359",0.9,"Good","F","SI2",64.2,62,2964,6.08,6,3.88
"11390",0.34,"Very Good","G","VS2",61.2,62,596,4.44,4.48,2.73
"13849",1.5,"Fair","H","I1",65.5,58,5645,7.02,6.96,4.58
"4086",0.77,"Ideal","F","VS2",61.8,56,3533,5.9,5.92,3.65
"18405",1.4,"Premium","F","SI2",59.9,60,7479,7.38,7.29,4.39
"42448",0.53,"Ideal","E","SI2",60.9,57,1315,5.23,5.21,3.18
"31003",0.32,"Very Good","E","VVS1",59,61,748,4.44,4.47,2.63
"7250",1.18,"Premium","J","SI2",61.3,60,4197,6.78,6.83,4.17
"21963",1.52,"Very Good","I","VS1",62.9,59.9,10032,7.27,7.31,4.59
"37769",0.41,"Ideal","E","VS2",62.1,57,999,4.79,4.74,2.96
"12731",1.07,"Ideal","F","SI2",61.4,56,5313,6.57,6.63,4.05
"24801",2.03,"Premium","I","SI2",62.8,59,13182,8.08,8.04,5.06
"26941",2.27,"Premium","J","VS1",62.4,58,16994,8.36,8.41,5.23
"44122",0.5,"Ideal","E","VS2",62.3,57,1559,5.04,5.08,3.15
"47422",0.57,"Very Good","E","VS2",62.9,57,1851,5.26,5.29,3.32
"43229",0.4,"Premium","E","VVS1",61.2,61,1397,4.74,4.7,2.89
"46827",0.58,"Ideal","E","VS2",62.3,54,1809,5.43,5.39,3.37
"30070",0.32,"Premium","G","VS2",59.9,57,720,4.51,4.47,2.69
"12507",0.91,"Premium","D","VS2",62,58,5259,6.15,6.2,3.83
"13488",1.5,"Premium","J","SI1",62.1,57,5536,7.42,7.26,4.56
"6220",1.01,"Ideal","G","SI1",62.9,57,4004,6.37,6.3,3.98
"9343",1,"Good","I","VS1",63.9,56,4581,6.37,6.18,4.01
"33367",0.41,"Ideal","G","VS2",61.4,55,827,4.75,4.8,2.93
"34295",0.39,"Ideal","G","VS2",62.5,54,857,4.67,4.7,2.93
"53291",0.3,"Premium","D","SI1",62.3,58,552,4.28,4.32,2.68
"2115",0.9,"Very Good","J","VS2",61.9,59,3119,6.14,6.2,3.82
"50099",0.71,"Very Good","H","SI1",63.5,57,2207,5.67,5.64,3.59
"48742",0.53,"Ideal","G","VVS1",61.3,56,2015,5.22,5.26,3.21
"16942",1.04,"Premium","E","VS1",58.6,59,6765,6.68,6.64,3.9
"6863",0.74,"Ideal","F","VVS1",60.8,60,4127,5.82,5.86,3.55
"6842",1.13,"Fair","J","SI1",64.9,55,4123,6.49,6.56,4.24
"20440",1.52,"Very Good","I","SI1",63.7,58,8794,7.23,7.3,4.63
"14534",1.24,"Ideal","I","SI2",61.8,58,5866,6.85,6.9,4.25
"5240",0.92,"Good","F","SI2",63.7,64,3787,6.13,6.08,3.89
"45425",0.55,"Ideal","E","SI1",62.1,55,1668,5.26,5.21,3.25
"2270",0.77,"Ideal","G","VS2",61.7,55,3154,5.87,5.9,3.63
"37515",0.39,"Ideal","E","VS2",60.4,56,985,4.73,4.7,2.85
"20299",1.2,"Very Good","G","VVS2",62.4,56,8712,6.68,6.74,4.19
"44675",0.55,"Ideal","E","SI1",62.5,56,1609,5.21,5.25,3.27
"19419",1.24,"Very Good","E","SI1",61.7,59,8073,6.85,6.89,4.24
"42177",0.5,"Ideal","F","SI1",61,56,1286,5.15,5.17,3.15
"49311",0.4,"Ideal","H","SI2",62.2,55,540,4.75,4.77,2.96
"23131",1.5,"Premium","F","SI1",62.8,56,11154,7.36,7.3,4.6
"40473",0.38,"Premium","D","VS1",62.4,59,1140,4.63,4.6,2.88
"47239",0.55,"Ideal","G","VS1",60.9,55,1841,5.27,5.31,3.22
"32700",0.31,"Ideal","F","VS2",62.3,55,802,4.38,4.35,2.72
"25480",2.27,"Good","H","SI2",63.6,58,14249,8.37,8.29,5.3
"18098",1.2,"Very Good","G","VS2",62,55,7318,6.8,6.84,4.23
"15771",1.5,"Good","J","SI2",63.6,58,6306,7.18,7.25,4.59
"25608",2.04,"Very Good","I","SI2",62.5,52,14477,8.02,8.17,5.06
"15510",1.01,"Very Good","G","VS2",60.2,58,6213,6.51,6.54,3.93
"47772",0.53,"Ideal","G","VVS2",61,56,1895,5.19,5.23,3.18
"31739",0.35,"Premium","D","SI1",61.5,58,772,4.55,4.53,2.79
"37083",0.41,"Premium","E","SI1",60.2,60,969,4.82,4.78,2.89
"39365",0.49,"Premium","F","SI2",62.2,59,1073,5.09,5.04,3.15
"20572",1.21,"Very Good","E","VS2",61.5,59,8886,6.82,6.88,4.21
"25449",1.5,"Premium","F","VS2",61.1,58,14199,7.36,7.33,4.49
"38228",0.4,"Ideal","H","VVS1",62,54,1017,4.72,4.76,2.94
"10973",1.24,"Premium","F","SI2",62.7,59,4907,6.83,6.77,4.26
"15098",1.26,"Premium","I","SI1",62,58,6068,6.9,6.87,4.27
"13520",1,"Very Good","G","VS2",62.7,58,5544,6.34,6.42,4
"8549",1.01,"Good","H","SI1",63.1,60,4432,6.37,6.41,4.03
"49603",0.53,"Ideal","G","IF",62.7,56,2137,5.23,5.13,3.25
"19457",1.42,"Premium","H","SI1",62.3,58,8102,7.15,7.19,4.47
"3466",0.91,"Premium","G","SI1",58,59,3392,6.45,6.38,3.72
"41109",0.59,"Ideal","F","SI2",61.7,54,1195,5.38,5.44,3.34
"52107",0.47,"Ideal","D","VVS1",62,54,2460,4.99,5.01,3.1
"35464",0.31,"Ideal","F","IF",61.2,56,901,4.38,4.41,2.69
"43051",0.52,"Premium","D","SI1",60.7,58,1376,5.23,5.18,3.16
"11268",1.02,"Ideal","D","SI2",58.9,61,4971,6.56,6.62,3.88
"45533",0.56,"Very Good","G","VS1",60.2,56,1686,5.35,5.37,3.23
"8533",0.9,"Ideal","H","VS1",62.2,58,4428,6.14,6.17,3.83
"42836",0.41,"Premium","F","VVS1",58.9,58,1356,4.87,4.84,2.86
"25788",2.01,"Very Good","H","SI2",62.7,60,14768,7.94,8.03,5.01
"42330",0.6,"Ideal","I","SI1",60.7,58,1295,5.43,5.45,3.3
"46437",0.6,"Premium","E","SI1",59.4,60,1771,5.57,5.51,3.29
"36107",0.42,"Very Good","F","SI1",63.3,56,926,4.79,4.75,3.02
"6341",1,"Fair","E","SI2",57.3,62,4032,6.54,6.59,3.76
"3369",0.27,"Very Good","E","SI1",61.2,57,407,4.2,4.23,2.58
"20613",1.14,"Very Good","F","VVS2",63.3,56,8912,6.56,6.71,4.2
"7171",0.92,"Premium","E","SI1",59.4,62,4183,6.3,6.24,3.73
"46080",0.64,"Ideal","G","SI1",61.6,55,1737,5.55,5.59,3.43
"20780",1,"Ideal","F","VVS2",59.7,60,9014,6.48,6.52,3.88
"25654",2.14,"Very Good","J","SI1",62.3,59,14556,8.24,8.26,5.14
"34370",0.41,"Ideal","F","VS2",62.3,57,863,4.75,4.78,2.97
"16044",0.3,"Ideal","H","VS2",60.7,57,608,4.37,4.33,2.64
"30335",0.38,"Premium","J","VS2",60.5,60,727,4.68,4.64,2.82
"11839",1.2,"Premium","I","SI1",61.4,57,5098,6.87,6.8,4.2
"23606",1.3,"Ideal","G","VVS2",62.4,56.1,11633,6.97,7.02,4.36
"15523",1.01,"Premium","G","VS1",62.7,58,6221,6.31,6.36,3.97
"12055",0.34,"Very Good","G","VS2",60.3,54,596,4.53,4.56,2.74
"25921",2,"Good","I","SI1",63,61,15072,7.93,7.97,5.01
"2556",0.8,"Very Good","H","VS1",61.7,62,3209,5.89,5.94,3.65
"2154",0.73,"Ideal","G","VVS2",61.9,56,3127,5.81,5.75,3.58
"10326",1.07,"Ideal","F","SI2",62,57,4764,6.6,6.49,4.06
"9574",1,"Premium","D","SI2",58.3,61,4626,6.59,6.54,3.83
"35592",0.4,"Premium","E","SI1",62.8,59,907,4.7,4.67,2.94
